,Chaine,Sport,Affiche,TlspMoyen,PdA,TNT
0,TF1,Football,Bayern Munich-PSG,11410000,44.4,Chaines traditionelles
1,TF1,Football,Portugal-France,7208000,26.5,Chaines traditionelles
2,TF1,Football,Lyon-Bayern Munich,6690000,31.4,Chaines traditionelles
3,TF1,Football,Croatie-Frnce,6385000,25.3,Chaines traditionelles
4,M6,Football,France-Portugal,5999000,24.4,Chaines traditionelles
5,TF1,Football,France-Croatie,5982000,24.3,Chaines traditionelles
6,France 2,Rugby,Pays de Galle-France,5855000,36.6,Chaines traditionelles
1,x,Football,[...],0,0,Chaines traditionelles
2,La Chaine L'equipe,Biathlon,Poursuite 12.5km,1592000,10.9,Chaines TNT
3,La Chaine L'equipe,Biathlon,Mass Start 15km,1582000,13.5,Chaines TNT
4,W9,Football(F),France-Autriche,1317000,4.9,Chaines TNT
5,La Chaine L'equipe,Biathlon,Individuel 20km,1299000,12.5,Chaines TNT
6,La Chaine L'equipe,Biathlon,Mass Start 15km,1293000,9.4,Chaines TNT
7,W9,Football(F),Autriche-France,1291000,4.8,Chaines TNT
8,La Chaine L'equipe,Biathlon,Poursuite 12.5km,1255000,10.3,Chaines TNT